2017-08-21 11:52:03,170 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 18:18:37,150 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 18:22:21,661 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 18:27:13,787 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 18:29:27,937 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 18:40:05,715 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 19:10:13,985 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 19:11:08,197 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 19:25:01,009 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 19:35:09,877 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 20:02:34,110 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 20:12:09,173 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 20:53:21,599 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 20:57:57,066 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 21:25:49,627 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 21:36:58,225 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-21 21:42:18,673 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
